excluded,sens,spec,auc
Chaiyo 2022,0.9118234079594747,0.9415882709567697,0.30078422151881584
Zapata-de la Cruz 2026,0.8985271009402458,0.9518652500932311,0.168436729514287
Ghogre 2021,0.8100141929786494,0.9210759768708989,0.8815260467255963
Zuroidah 2022,0.9107486996521084,0.9426268001895962,0.18543650211775156
Pohekar 2017,0.8113786834073763,0.9203063155528786,0.9166548867023369
