study,N,TP,FP,FN,TN,sens,sens_lo,sens_hi,spec,spec_lo,spec_hi,ppv,npv,plr,nlr,dor
Chaiyo 2022,404,125,19,33,227,0.7911392405063291,0.7212207825183736,0.8472362767296813,0.9227642276422764,0.8825277074105737,0.949999782006721,0.8680555555555556,0.8730769230769231,10.243171219187204,0.2263424970724363,45.25518341307815
Zapata-de la Cruz 2026,125,38,9,7,71,0.8444444444444444,0.712158094887512,0.9225467468867133,0.8875,0.7998158913432244,0.9396738130517298,0.8085106382978723,0.9102564102564102,7.50617283950617,0.1752738654147105,42.82539682539682
Ghogre 2021,85,28,2,1,54,0.9655172413793104,0.8282410893529976,0.9938869433859677,0.9642857142857143,0.8788099414778991,0.9901507814974224,0.9333333333333333,0.9818181818181818,27.034482758620705,0.0357598978288633,756.0
Zuroidah 2022,80,41,0,9,30,0.82,0.6920368054529739,0.902299172675462,1.0,0.8864829086095221,1.0,1.0,0.7692307692307693,inf,0.18000000000000005,inf
Pohekar 2017,100,38,1,0,61,1.0,0.90818706741616,0.9999999999999999,0.9838709677419355,0.914130769926111,0.9971472063077598,0.9743589743589743,1.0,62.00000000000006,0.0,inf
